Name,No,Track,Artist,Album,Track_Url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Miliseconds_Played,Genre
tracks,297,It′s Raining,Rain,It's Raining,spotify:track:7gH0gjbvNKZJtryOUNW2Yt,0.783,0.875,1,-4.486,1,0.0663,0.0172,0.0233,0.217,0.385,103.953,1940525,K-pop
tracks,298,Soft Lips,Pavy,Songs About Women,spotify:track:6c91SIcG2nuNRu26ou0uRN,0.907,0.284,7,-13.345,0,0.302,0.615,0,0.0884,0.442,105.042,3325253,Hip Hop/Rap
tracks,299,Hypnotized,Deanz,Pull Me Closer,spotify:track:2I4y6xCzw0zwF06GpujAyc,0.678,0.577,1,-8.511,0,0.0487,0.332,0.000009,0.229,0.273,120.12,6463078,Electronic/Dance
tracks,300,Blue Rose,LEEBADA,THE OCEAN,spotify:track:6nRuiTA6WpHIcXOEctK3GC,0.597,0.547,8,-4.793,0,0.0821,0.51,0,0.386,0.24,74.876,3581659,K-pop
tracks,301,네가 좋아,Hello Ga-Young,네가 좋아,spotify:track:3uMw3suPr1LEFWFxBRtYV7,0.75,0.337,11,-8.034,1,0.0314,0.863,0.000003,0.115,0.428,95.959,1506968,K-pop
tracks,302,Shape Of My Heart,Sting,Ten Summoner's Tales,spotify:track:5TrvGxuqaYKsF7C0NfrLrY,0.524,0.31,6,-12.929,0,0.0333,0.722,0.000765,0.0729,0.289,83.931,1430291,R&B/Soul
tracks,303,The Motto,Tiësto,The Motto,spotify:track:18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,0.000022,0.0901,0.464,117.953,5137211,Electronic/Dance
tracks,304,The sketch you sketched,Woody,The sketch you sketched,spotify:track:3ey6qWxaDV7tpq7FfKOdCr,0.47,0.567,4,-3.746,1,0.183,0.69,0.000003,0.107,0.715,175.555,2102284,K-Indie
tracks,305,Manila,Young Cocoa,Manila,spotify:track:31pfoNavshN4lGQfcwGgpm,0.899,0.446,6,-8.118,0,0.11,0.58,0,0.0876,0.897,102.033,4405463,Pop
tracks,306,聽見下雨的聲音,Queen Wei,聽見下雨的聲音,spotify:track:0AoLF8kZSDuMz032j4ZnC0,0.295,0.533,9,-9.81,1,0.0371,0.108,0.000002,0.122,0.176,167.326,45558708,M-pop
tracks,307,Apollo,Smoove'L,Ice Cups And Shootouts,spotify:track:05iRuRXIVHYjclPajTQVjS,0.774,0.617,2,-5.559,1,0.353,0.0163,0,0.418,0.218,142.666,1673865,Electronic/Dance
tracks,308,That Old School Love,Vinh Khuat,That Old School Love,spotify:track:608b2NnuGS35YYqQEyl5Ai,0.546,0.478,10,-6.463,1,0.0713,0.135,0,0.104,0.201,75.103,5492776,Hip Hop/Rap
tracks,309,Jealous King,TangBadVoice,Jealous King,spotify:track:3uMYfgPMlYinMvU5HBaO3S,0.862,0.432,5,-11.583,1,0.16,0.369,0.000018,0.125,0.433,89.997,202383,R&B/Soul
tracks,310,Vacance in September,KIM JAE HWAN,Pocket List 8/12,spotify:track:3SZit36toAsecvUWqMrit4,0.519,0.557,0,-6.02,1,0.0589,0.393,0,0.248,0.345,73.895,32765094,K-Indie
tracks,311,"thank u, next",Ariana Grande,"thank u, next",spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,6146089,R&B/Soul
tracks,313,say what's on your mind,slchld,as long as you're okay,spotify:track:5sZOGj6SfzD7lWpwKhF6oE,0.676,0.462,6,-4.207,0,0.037,0.81,0.0286,0.222,0.369,78.959,56329987,K-Indie
tracks,314,下雨天,与少年他,下雨天,spotify:track:1rCKpLcFlEMsohPxWPdmQ1,0.529,0.678,4,-4.104,1,0.0312,0.129,0,0.981,0.329,129.774,13821136,Electronic/Dance
tracks,315,Lift Off,Dirt Monkey,Wubula,spotify:track:4EzXMevYacfWa9uLQbZcA2,0.736,0.821,1,-5.275,1,0.0728,0.0146,0.307,0.223,0.284,150.029,11154753,Electronic/Dance
tracks,316,Turbulence - Radio Edit,Steve Aoki,Turbulence (feat. Lil Jon),spotify:track:2Kf2mWshxgnyz5NG6q7YwE,0.694,0.947,2,-1.721,1,0.081,0.00625,0.256,0.117,0.288,130.024,13250514,Electronic/Dance
tracks,317,Haru Haru,BIGBANG,Stand Up,spotify:track:1L4d2lafz1odpIMe8va21X,0.687,0.914,6,-5.02,1,0.0437,0.166,0,0.0858,0.675,126.001,8056065,K-pop
tracks,318,The Business,Tiësto,The Business,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,40365259,R&B/Soul
tracks,319,Please Me,Cardi B,Please Me,spotify:track:0PG9fbaaHFHfre2gUVo7AN,0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,16007022,Hip Hop/Rap
tracks,320,LoveHate Thing (feat. Sam Dew),Wale,The Gifted,spotify:track:6kx16R0LMAyoXDvGqddZFy,0.736,0.691,8,-6.118,1,0.169,0.0771,0,0.0422,0.18,99.954,7662862,Electronic/Dance
tracks,321,Secrets,Tiësto,"Club Life, Vol. 4 - New York City",spotify:track:0NIC4unbe5KZOp1d9T7OaF,0.648,0.812,11,-7.585,0,0.0414,0.000329,0.0369,0.0857,0.122,128.178,136288140,Electronic/Dance
tracks,322,Reckless,Madison Beer,Reckless,spotify:track:5ajjAnNRh8bxFvaVHzpPjh,0.386,0.426,3,-6.642,1,0.0363,0.807,0,0.14,0.261,180.104,2845699,Pop
tracks,323,Jackie Chan - Keanu Silva Remix,Tiësto,Jackie Chan,spotify:track:4DFPLQ1A5VX3XJ2EdX4RzU,0.885,0.869,6,-4.939,1,0.0552,0.00211,0.000008,0.0325,0.702,126.005,2048710,Electronic/Dance
tracks,324,I wanna go out,J_ust,D_iary Page.1,spotify:track:75C9zW7Liktu6ULymEuL2y,0.587,0.44,5,-5.623,0,0.0374,0.75,0,0.36,0.526,175.842,19176991,K-Indie
tracks,325,Touch love,Yoon Mirae,Master`s sun OST Part 4,spotify:track:5gFYlFpGVG6QO4Fq4O8ZX4,0.699,0.533,5,-4.228,1,0.0275,0.612,0,0.209,0.347,82.017,3566595,K-pop
tracks,326,Primary Insomnia,Who R U?,Midnight Blue,spotify:track:7iMlkoKrJ4bVdn2PzURPIC,0.652,0.6,5,-5.573,1,0.0253,0.762,0,0.0747,0.61,92.049,556120,K-Indie
tracks,327,Rude Boy,Rihanna,Rated R,spotify:track:60jzFy6Nn4M0iD1d94oteF,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,7981997,Hip Hop/Rap
tracks,328,Beast Mode,Kura,Beast Mode,spotify:track:4KxqlCJNjBNwsmgzLFy3Is,0.602,0.971,0,-6.065,1,0.0688,0.00409,0.525,0.101,0.681,149.964,23018531,Electronic/Dance
tracks,329,Hurricane,Kanye West,Donda,spotify:track:0RbW8kWozrVSIGb4V13o0o,0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,5321449,Electronic/Dance
tracks,330,哪里都是你,队长,哪里都是你,spotify:track:3QP3cYE3qnplFueLKNVsbM,0.544,0.401,5,-8.347,1,0.027,0.749,0.000015,0.265,0.163,131.846,27978130,M-pop
tracks,331,Let Me Love You,DJ Snake,Encore,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,649,0.716,8,-5.371,1,0.0349,0.0863,0.000026,0.135,0.163,99.988,578421,Pop
tracks,332,Dangerous,Kardinal Offishall,Not 4 Sale,spotify:track:4NOZ35Dhucr6UlVyLOtktd,0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002,8211254,R&B/Soul
tracks,333,How You Like That,BLACKPINK,How You Like That,spotify:track:6y6k14YN6MbKpGIv1Rk00Q,0.828,0.782,11,-4.014,1,0.0918,0.0694,0.000034,0.0544,0.341,130.013,2299041,K-pop
tracks,334,Necklace,Barrett Marshall,Necklace,spotify:track:1O4LPFLicLEj8B4jBFuhl7,0.732,0.51,9,-6.614,0,0.0328,0.645,0,0.158,0.521,96.067,9983162,R&B/Soul
tracks,335,Wannabe,Spice Girls,Spice,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,3690093,R&B/Soul
tracks,336,Don't Be Shy,Tiësto,Don't Be Shy,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,0.513,119.986,6910644,Electronic/Dance
tracks,337,Mad at Disney,salem ilese,Mad at Disney,spotify:track:7aGyRfJWtLqgJaZoG9lJhE,0.738,0.621,0,-7.313,1,0.0486,0.424,0.000007,0.692,0.715,113.968,4142725,Pop
tracks,338,drivers license,Olivia Rodrigo,drivers license,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,0.585,0.436,10,-8.761,1,0.0601,0.721,0.000013,0.105,0.132,143.874,1098642,R&B/Soul
tracks,339,Red Lights,Tiësto,A Town Called Paradise,spotify:track:5L2l7mI8J1USMzhsmdjat9,0.654,0.83,10,-4.801,1,0.0366,0.000629,0.000001,0.121,0.548,124.989,5922835,Electronic/Dance
tracks,340,Nataaoki,Natanael Cano,NataKong,spotify:track:7w47Qtyrw5y4w5Qa0wNjco,0.768,0.835,6,-4.961,0,0.11,0.07,0.000004,0.0593,0.797,119.982,6764377,Electronic/Dance
