End_Time,Artist,Track,Playlist,Miliseconds_Played,
3/31/22 13:06,salem ilese,Mad at Disney,mm3,70240,
3/31/22 13:06,Sam Kim,Love Me Like That,#N/A,23243,
3/31/22 13:07,Lil Ghost小鬼,Good Night,#N/A,90488,
3/31/22 13:11,余佳运,最好的都给你,mm3,201967,
3/31/22 13:14,傲七爺,是想你的聲音啊,mm2,179467,
3/31/22 13:15,Troye Sivan,Angel Baby,#N/A,88537,
3/31/22 13:25,Afrojack,No Beef - Original Mix,#N/A,307479,
3/31/22 16:43,Estelle Fly,HEAVY,#N/A,156631,
3/31/22 16:45,Lim sang hyun,Honey Milk Tea,#N/A,123806,
3/31/22 16:49,Boon Hui Lu,Losing Myself (feat. GBOYSWAG),#N/A,197880,
3/31/22 16:49,李承鉉,Things I Do For Love,#N/A,3761,
3/31/22 16:51,BLVMENKIND,Dream with You,#N/A,113940,
3/31/22 16:54,BLACKPINK,Pretty Savage,#N/A,201122,
3/31/22 16:57,Nelly,Dilemma,#N/A,197458,
3/31/22 17:05,Jay Chou,給我一首歌的時間,#N/A,131170,
3/31/22 17:55,HEIZE,Mother,#N/A,176280,
3/31/22 17:59,Rothy,Star,#N/A,184823,
3/31/22 18:02,J_ust,Soft,#N/A,237110,
3/31/22 18:03,J_ust,Soft,#N/A,9798,
3/31/22 18:06,Seo actor,Eternal Sunshine,mm1,175426,
3/31/22 18:09,Lee Seung Chul,My Love (Duet Ver.),#N/A,227000,
3/31/22 18:13,Punch,Say Yes (Feat. Moon Byul of MAMAMOO),#N/A,204356,
3/31/22 18:17,GSoul,Can Love Be Fair,#N/A,255746,
3/31/22 18:20,HEIZE,HAPPEN,#N/A,193560,
3/31/22 18:23,RAVI,RAIN DROP (feat. Lee Na Eun),#N/A,150741,
4/1/22 0:15,Lee Seung Chul,My Love (Duet Ver.),#N/A,219614,
4/1/22 0:19,Rothy,Star,#N/A,220519,
4/1/22 0:21,Estelle Fly,HEAVY,#N/A,101912,
4/1/22 0:23,Lee Seung Chul,My Love (Duet Ver.),#N/A,119141,
4/1/22 0:26,KIM JAE HWAN,Vacance in September,mm2,175937,
4/1/22 0:29,余佳运,最好的都给你,mm3,216479,
4/1/22 0:29,slchld,say what's on your mind,mm1,4899,
4/1/22 0:31,Estelle Fly,HEAVY,#N/A,81432,
4/1/22 0:33,Lee Seung Chul,My Love (Duet Ver.),#N/A,135279,
4/1/22 0:36,Rothy,Star,#N/A,163305,
4/1/22 0:37,KIM JAE HWAN,Vacance in September,mm2,101656,
4/1/22 0:41,Rothy,Star,#N/A,231851,
4/1/22 0:45,Groove Edition,하루 하루 (Day To Day) [In the Style of Tashannie] - Karaoke,#N/A,227114,
4/1/22 0:47,BIGBANG,Haru Haru,#N/A,138437,
4/1/22 0:51,Hyolyn,Good bye 안녕,mm1,202315,
4/1/22 0:54,Landy Wen,夏日の風,#N/A,213414,
4/1/22 0:57,twocolors,Lovefool (feat. Pia Mia),#N/A,3204,
4/1/22 0:57,KATIE,Thinkin Bout You,mm1,180442,
4/1/22 1:06,Sarah Connor,Christmas In My Heart,mm2,189637,
4/1/22 15:37,Lee Seung Chul,My Love (Duet Ver.),#N/A,149350,
4/1/22 15:40,Rothy,Star,#N/A,176657,
4/1/22 15:42,Estelle Fly,HEAVY,#N/A,118932,
4/1/22 15:46,Rezz,Edge,#N/A,223886,
4/1/22 15:47,Rezz,Hypnocurrency,#N/A,81420,
4/1/22 15:48,Ariana Grande,34+35,#N/A,6687,
4/1/22 15:48,homezone,August 7:28 P.M.,#N/A,7871,
4/1/22 15:50,FISHER,You Little Beauty,#N/A,158267,
4/1/22 15:53,Tiësto,Secrets,mm3,155155,
4/1/22 15:55,蒋小呢,For Ya,#N/A,96734,
4/1/22 15:55,Wocean Wang,唯一 - Wocean Remix,#N/A,1044,
4/1/22 15:58,GIRIBOY,Let's Not Love Each Other,mm2,206634,
4/1/22 16:03,Lil Ghost小鬼,Good Night,#N/A,47229,
4/1/22 16:19,Lee Seung Chul,My Love (Duet Ver.),#N/A,217710,
4/1/22 16:22,Estelle Fly,HEAVY,#N/A,151904,
4/1/22 16:23,冰球樂團,醉後喜歡我,#N/A,108669,
4/1/22 16:27,Rezz,Edge,#N/A,223886,
4/1/22 16:29,Rezz,Hypnocurrency,#N/A,96930,
4/1/22 16:31,Boon Hui Lu,Losing Myself (feat. GBOYSWAG),#N/A,145031,
4/1/22 16:33,Morris赖仔,靠近,#N/A,13049,
4/1/22 16:33,BLVMENKIND,Dream with You,#N/A,120441,
4/1/22 16:58,Rothy,Star,#N/A,226394,
4/1/22 17:02,Rothy,Star,#N/A,210303,
4/1/22 17:04,Boon Hui Lu,Losing Myself (feat. GBOYSWAG),#N/A,130263,
4/1/22 17:06,Billy Joel,Vienna,#N/A,2275,
4/1/22 17:06,OHMYMEITING,住在天狼星的那個人,#N/A,104466,
